"age","workclass","fnlwgt","education","education_cat","marital_status","occupation","relationship","race","gender","capital_gain","capital_loss","hour_per_week","native_country","class"
"25811",47," Private",99911," 12th",8," Married-spouse-absent"," Exec-managerial"," Not-in-family"," White"," Female",0,0,55," United-States"," <=50K"
"14292",40," Private",308027," HS-grad",9," Widowed"," Other-service"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
"24514",32," Private",198660," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"20444",23," Private",378460," Some-college",10," Never-married"," Prof-specialty"," Own-child"," White"," Male",0,0,20," United-States"," <=50K"
"23074",34," Private",29235," Assoc-acdm",12," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
"21",40," Private",193524," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,60," United-States"," >50K"
"15442",67," Self-emp-not-inc",268514," Bachelors",13," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"7151",23," Private",200207," HS-grad",9," Divorced"," Handlers-cleaners"," Own-child"," White"," Male",0,0,44," United-States"," <=50K"
"12339",47," State-gov",148171," Doctorate",16," Divorced"," Prof-specialty"," Unmarried"," White"," Male",0,0,50," France"," >50K"
"19906",41," Private",282964," Some-college",10," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
"11428",24," Private",291355," Some-college",10," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,60," United-States"," <=50K"
"3610",23," Private",215616," HS-grad",9," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," Canada"," <=50K"
"7914",29," Local-gov",187649," HS-grad",9," Separated"," Protective-serv"," Other-relative"," White"," Female",0,0,40," United-States"," <=50K"
"21699",32," ?",256371," 12th",8," Never-married"," ?"," Own-child"," Black"," Female",0,0,40," United-States"," <=50K"
"13565",21," Private",203055," Some-college",10," Never-married"," Machine-op-inspct"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"
"25600",30," Federal-gov",319280," Some-college",10," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"3341",24," Private",215443," HS-grad",9," Separated"," Other-service"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"14124",41," ?",339682," 5th-6th",3," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,40," Mexico"," <=50K"
"31987",45," Private",259463," Assoc-voc",11," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"29001",28," Private",45613," Some-college",10," Never-married"," Priv-house-serv"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
"28787",33," Private",207301," Assoc-acdm",12," Divorced"," Exec-managerial"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
"5685",24," Private",152189," HS-grad",9," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"4244",24," Private",263498," 11th",7," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"21207",50," Private",158680," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," >50K"
"11154",29," Private",53181," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,55," United-States"," >50K"
"21324",26," Private",257405," 5th-6th",3," Never-married"," Farming-fishing"," Other-relative"," Black"," Male",0,0,40," Mexico"," <=50K"
"10402",56," Private",365050," 7th-8th",4," Never-married"," Farming-fishing"," Unmarried"," Black"," Female",0,0,20," United-States"," <=50K"
"6094",31," Private",213750," Some-college",10," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,45," United-States"," <=50K"
"25398",80," ?",91901," HS-grad",9," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,25," United-States"," <=50K"
"3039",44," Local-gov",33068," 12th",8," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,55," United-States"," <=50K"
"15154",34," Private",134737," Bachelors",13," Never-married"," Sales"," Own-child"," White"," Male",0,0,40," United-States"," >50K"
"16605",73," Self-emp-not-inc",102510," 7th-8th",4," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",6418,0,99," United-States"," >50K"
"19477",41," Private",171546," Bachelors",13," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,45," United-States"," >50K"
"10804",34," Private",176711," HS-grad",9," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"15860",22," Private",202416," Bachelors",13," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
"30981",55," Local-gov",296085," Assoc-acdm",12," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",0,0,40," United-States"," >50K"
"15674",27," Private",242207," Bachelors",13," Never-married"," Tech-support"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
"28898",31," Private",46807," Bachelors",13," Never-married"," Tech-support"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"29679",22," Private",314525," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"19756",31," Private",56510," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," Asian-Pac-Islander"," Male",0,0,40," United-States"," <=50K"
"13329",49," Self-emp-inc",141058," Some-college",10," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,2339,50," United-States"," <=50K"
"4774",44," Self-emp-not-inc",27242," Some-college",10," Never-married"," Farming-fishing"," Own-child"," White"," Male",0,0,60," United-States"," <=50K"
"30352",68," Private",171933," 7th-8th",4," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"9775",34," Private",344073," HS-grad",9," Separated"," Adm-clerical"," Not-in-family"," White"," Male",0,0,40," United-States"," >50K"
"1971",35," Private",330664," Some-college",10," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"30752",27," Private",44767," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"23382",57," Federal-gov",42298," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",15024,0,40," United-States"," >50K"
"4617",36," Private",130926," Bachelors",13," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",3674,0,40," United-States"," <=50K"
"17822",57," Self-emp-inc",165881," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"30955",69," Private",128348," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",9386,0,50," United-States"," >50K"
"18995",55," Private",419732," Some-college",10," Divorced"," Other-service"," Unmarried"," White"," Female",0,0,38," United-States"," <=50K"
"13124",43," Local-gov",33331," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"21019",23," Private",346480," HS-grad",9," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,50," United-States"," <=50K"
"10375",25," Private",150553," 9th",5," Married-spouse-absent"," Adm-clerical"," Unmarried"," Asian-Pac-Islander"," Female",0,0,40," Vietnam"," <=50K"
"9983",33," Private",409172," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Own-child"," White"," Male",0,0,55," United-States"," <=50K"
"7129",25," Self-emp-not-inc",108001," 9th",5," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,15," United-States"," <=50K"
"11986",43," Local-gov",35824," Masters",14," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,40," United-States"," >50K"
"31925",25," Private",74977," Some-college",10," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," United-States"," <=50K"
"5002",55," Private",151474," Bachelors",13," Never-married"," Tech-support"," Other-relative"," White"," Female",0,1590,38," United-States"," <=50K"
"2953",22," ?",35448," HS-grad",9," Married-civ-spouse"," ?"," Wife"," White"," Female",0,0,22," United-States"," <=50K"
"4603",40," Private",210275," HS-grad",9," Separated"," Transport-moving"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
"22379",44," ?",190205," 7th-8th",4," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,25," United-States"," <=50K"
"20084",56," Local-gov",170217," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"28908",43," Private",226902," Bachelors",13," Divorced"," Machine-op-inspct"," Other-relative"," White"," Male",0,0,40," United-States"," <=50K"
"21825",34," State-gov",327902," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,55," United-States"," <=50K"
"23902",40," Private",140559," HS-grad",9," Married-civ-spouse"," Priv-house-serv"," Wife"," White"," Female",0,0,45," United-States"," <=50K"
"16899",27," Private",114967," Bachelors",13," Never-married"," Sales"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"21396",34," Private",212163," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,25," United-States"," <=50K"
"26648",40," Local-gov",99679," Prof-school",15," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,60," United-States"," >50K"
"25495",23," Private",412248," Assoc-acdm",12," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,25," United-States"," <=50K"
"31769",45," Private",49298," Bachelors",13," Never-married"," Tech-support"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"14248",54," Local-gov",238257," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
"10106",52," Private",49243," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"13276",27," Private",177351," Bachelors",13," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,45," United-States"," <=50K"
"340",45," Private",261192," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"
"5961",18," Private",78817," HS-grad",9," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"
"27319",40," Private",141583," 10th",6," Never-married"," Other-service"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
"7494",66," Self-emp-not-inc",291362," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
"7751",23," ?",72953," HS-grad",9," Never-married"," ?"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"2486",27," Private",297296," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"7965",23," Private",361481," 10th",6," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," ?"," <=50K"
"23730",41," ?",211873," Assoc-voc",11," Married-civ-spouse"," ?"," Wife"," White"," Female",0,1628,5," ?"," <=50K"
"27467",68," ?",152157," HS-grad",9," Widowed"," ?"," Not-in-family"," White"," Female",0,0,20," United-States"," <=50K"
"16125",51," Private",194097," HS-grad",9," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"12572",29," Private",108574," Assoc-voc",11," Never-married"," Priv-house-serv"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
"7987",51," Federal-gov",190333," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"3601",53," Private",209022," 11th",7," Divorced"," Other-service"," Not-in-family"," White"," Female",0,0,37," United-States"," <=50K"
"12639",55," Private",49996," 11th",7," Never-married"," Machine-op-inspct"," Not-in-family"," Black"," Female",0,0,40," United-States"," <=50K"
"18534",49," Private",165513," Some-college",10," Divorced"," Handlers-cleaners"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
"7029",47," Private",221666," Some-college",10," Divorced"," Tech-support"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"14412",20," Private",88126," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,9," England"," <=50K"
"7064",38," Private",26987," HS-grad",9," Divorced"," Other-service"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"16276",45," Private",162606," HS-grad",9," Divorced"," Sales"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
"11467",42," Private",157443," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," Asian-Pac-Islander"," Female",0,0,27," Taiwan"," >50K"
"21059",44," Self-emp-not-inc",172479," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",15024,0,60," United-States"," >50K"
"12140",45," Private",129336," Masters",14," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,45," United-States"," >50K"
"11516",69," Private",370837," Bachelors",13," Divorced"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"17290",44," Private",262684," HS-grad",9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,1504,45," United-States"," <=50K"
"23984",59," Private",200700," Bachelors",13," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",0,0,48," United-States"," >50K"
"7163",42," Federal-gov",284403," HS-grad",9," Divorced"," Adm-clerical"," Not-in-family"," Black"," Male",0,0,40," United-States"," <=50K"
"13371",38," ?",70282," Masters",14," Married-civ-spouse"," ?"," Wife"," Black"," Female",15024,0,2," United-States"," >50K"
"8607",30," Self-emp-inc",124420," HS-grad",9," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",4650,0,40," United-States"," <=50K"
"20406",26," Private",244495," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,48," United-States"," <=50K"
"5955",29," Private",201454," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
"27973",31," Private",151053," Some-college",10," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",5178,0,40," United-States"," >50K"
"24180",24," Local-gov",126613," Bachelors",13," Never-married"," Prof-specialty"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"
"21644",34," Private",169527," Some-college",10," Married-civ-spouse"," Sales"," Wife"," White"," Female",4386,0,20," United-States"," <=50K"
"20016",56," Self-emp-not-inc",60166," 1st-4th",2," Never-married"," Exec-managerial"," Not-in-family"," Amer-Indian-Eskimo"," Male",0,0,65," United-States"," <=50K"
"12055",53," Local-gov",176557," Masters",14," Divorced"," Prof-specialty"," Unmarried"," White"," Female",0,0,50," United-States"," <=50K"
"17159",20," Private",352139," Some-college",10," Divorced"," Other-service"," Own-child"," White"," Female",0,0,29," United-States"," <=50K"
"28325",32," Private",172375," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,38," United-States"," <=50K"
"18839",29," Private",210498," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"27193",34," Private",167497," Some-college",10," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",7688,0,50," United-States"," >50K"
"10118",20," ?",173945," 11th",7," Married-civ-spouse"," ?"," Other-relative"," White"," Female",0,0,39," United-States"," <=50K"
"22934",57," Self-emp-inc",37345," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,36," United-States"," >50K"
"8581",29," Self-emp-not-inc",151476," Assoc-voc",11," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",2174,0,40," United-States"," <=50K"
"19244",40," Private",183404," Some-college",10," Separated"," Other-service"," Unmarried"," White"," Female",0,0,8," United-States"," <=50K"
"15583",19," Private",63814," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,18," United-States"," <=50K"
"32378",28," Private",180299," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,70," United-States"," <=50K"
"18279",55," Private",49737," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
"29563",25," Private",363707," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"29196",48," Private",155509," HS-grad",9," Never-married"," Adm-clerical"," Not-in-family"," Black"," Female",0,0,16," Trinadad&Tobago"," <=50K"
"8876",36," Private",194630," Some-college",10," Divorced"," Sales"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"10407",31," Private",103435," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States"," >50K"
"31905",55," Private",100054," 10th",6," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"20068",62," Self-emp-not-inc",39630," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,48," United-States"," <=50K"
"30339",33," State-gov",119628," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",0,0,50," Hong"," <=50K"
"15100",63," Self-emp-not-inc",420629," Assoc-voc",11," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,45," United-States"," <=50K"
"13168",34," Private",56150," 11th",7," Never-married"," Transport-moving"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"
"21336",43," Self-emp-not-inc",194726," HS-grad",9," Divorced"," Craft-repair"," Own-child"," White"," Male",0,0,35," United-States"," <=50K"
"4931",34," Local-gov",303867," 9th",5," Never-married"," Other-service"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"18540",36," Private",235371," HS-grad",9," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
"7726",53," Private",30447," HS-grad",9," Divorced"," Machine-op-inspct"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
"31142",53," Private",191565," 1st-4th",2," Divorced"," Other-service"," Unmarried"," Black"," Female",0,0,40," Dominican-Republic"," <=50K"
"19460",55," Private",193130," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,1887,40," United-States"," >50K"
"16666",65," Private",420277," Some-college",10," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"13027",79," ?",100881," Assoc-acdm",12," Married-civ-spouse"," ?"," Wife"," White"," Female",0,0,2," United-States"," >50K"
"28482",52," Private",95704," 9th",5," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"11781",43," State-gov",129298," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
