"","TransactionID","Actual_class","Predicted_class","Posterior_Probability","Poster_probility2"
"44",44," <=50K"," <=50K",4,4
"45",45," <=50K"," <=50K",2.8,2.8
"46",46," <=50K"," <=50K",3,3
"47",47," <=50K"," <=50K",4,4
"48",48," >50K"," <=50K",2.4,2.4
"49",49," >50K"," <=50K",3,3
"50",50," <=50K"," <=50K",4,4
"51",51," <=50K"," <=50K",4,4
"52",52," >50K"," >50K",2.6,1.4
"53",53," <=50K"," <=50K",4,4
"54",54," <=50K"," <=50K",3,3
"55",55," <=50K"," <=50K",4,4
"56",56," <=50K"," <=50K",3,3
"57",57," >50K"," >50K",2.4,1.6
"58",58," <=50K"," <=50K",4,4
"59",59," <=50K"," <=50K",2,2
"60",60," >50K"," <=50K",3.4,3.4
"61",61," <=50K"," <=50K",4,4
"62",62," <=50K"," >50K",2.8,1.2
"63",63," <=50K"," <=50K",3.4,3.4
"64",64," <=50K"," <=50K",3.4,3.4
"65",65," <=50K"," >50K",3.2,0.8
"66",66," <=50K"," <=50K",3.4,3.4
"67",67," <=50K"," >50K",2.8,1.2
"68",68," <=50K"," <=50K",4,4
"69",69," <=50K"," <=50K",2.6,2.6
"70",70," <=50K"," <=50K",2.8,2.8
"71",71," <=50K"," >50K",3,1
"72",72," >50K"," <=50K",3.2,3.2
"73",73," >50K"," >50K",3,1
"74",74," <=50K"," <=50K",3.8,3.8
"75",75," <=50K"," <=50K",4,4
"76",76," <=50K"," <=50K",3.8,3.8
"77",77," <=50K"," <=50K",4,4
"78",78," <=50K"," <=50K",3,3
"79",79," <=50K"," >50K",3.2,0.8
"80",80," <=50K"," <=50K",2,2
"81",81," >50K"," >50K",2.6,1.4
"82",82," >50K"," >50K",3.4,0.6
"83",83," <=50K"," <=50K",4,4
"84",84," <=50K"," <=50K",3.6,3.6
"85",85," >50K"," >50K",2.2,1.8
"86",86," <=50K"," <=50K",3.6,3.6
"87",87," <=50K"," <=50K",4,4
"88",88," >50K"," <=50K",2.2,2.2
"89",89," <=50K"," <=50K",3.8,3.8
"90",90," <=50K"," <=50K",4,4
"91",91," >50K"," >50K",2.4,1.6
"92",92," <=50K"," <=50K",3.6,3.6
"93",93," <=50K"," <=50K",2.4,2.4
"94",94," <=50K"," <=50K",3,3
"95",95," <=50K"," <=50K",2.6,2.6
"96",96," <=50K"," >50K",3.4,0.6
"97",97," <=50K"," <=50K",3.8,3.8
"98",98," >50K"," >50K",2.4,1.6
"99",99," <=50K"," <=50K",4,4
"100",100," <=50K"," >50K",3,1
"101",101," <=50K"," >50K",3,1
"102",102," >50K"," >50K",2.8,1.2
"103",103," <=50K"," <=50K",4,4
"104",104," <=50K"," <=50K",4,4
"105",105," <=50K"," <=50K",4,4
"106",106," >50K"," <=50K",3.2,3.2
"107",107," >50K"," <=50K",3.2,3.2
"108",108," <=50K"," <=50K",4,4
"109",109," <=50K"," <=50K",3.6,3.6
"110",110," >50K"," <=50K",3.8,3.8
"111",111," <=50K"," <=50K",4,4
"112",112," >50K"," <=50K",2.8,2.8
"113",113," <=50K"," <=50K",3.8,3.8
"114",114," <=50K"," <=50K",4,4
"115",115," <=50K"," <=50K",2.4,2.4
"116",116," <=50K"," <=50K",4,4
"117",117," >50K"," >50K",2.6,1.4
"118",118," <=50K"," <=50K",3,3
"119",119," <=50K"," <=50K",3.8,3.8
"120",120," <=50K"," <=50K",3.8,3.8
"121",121," >50K"," >50K",3.2,0.8
"122",122," <=50K"," <=50K",4,4
"123",123," <=50K"," <=50K",4,4
"124",124," <=50K"," <=50K",4,4
"125",125," <=50K"," <=50K",4,4
"126",126," >50K"," <=50K",2.6,2.6
"127",127," <=50K"," >50K",3.2,0.8
"128",128," <=50K"," <=50K",3.6,3.6
"129",129," <=50K"," <=50K",3.4,3.4
"130",130," <=50K"," >50K",2.6,1.4
"131",131," <=50K"," <=50K",3,3
"132",132," <=50K"," <=50K",3.2,3.2
"133",133," <=50K"," >50K",2.6,1.4
"134",134," <=50K"," <=50K",4,4
"135",135," <=50K"," <=50K",3.4,3.4
"136",136," <=50K"," <=50K",3.6,3.6
"137",137," <=50K"," <=50K",2.4,2.4
"138",138," >50K"," >50K",2.6,1.4
"139",139," >50K"," >50K",3.6,0.4
"140",140," <=50K"," <=50K",3.8,3.8
"141",141," <=50K"," <=50K",3.6,3.6
"142",142," <=50K"," <=50K",3.4,3.4
"143",143," >50K"," >50K",3.2,0.8
"144",144," >50K"," <=50K",3.8,3.8
"145",145," <=50K"," <=50K",3.8,3.8
"146",146," <=50K"," <=50K",4,4
"147",147," <=50K"," <=50K",4,4
"148",148," <=50K"," <=50K",4,4
"149",149," <=50K"," <=50K",3.8,3.8
"150",150," >50K"," >50K",4,0
"151",151," <=50K"," >50K",2.6,1.4
"152",152," <=50K"," >50K",2.6,1.4
"153",153," <=50K"," <=50K",3.8,3.8
"154",154," <=50K"," <=50K",4,4
"155",155," >50K"," >50K",3.2,0.8
"156",156," <=50K"," <=50K",2.4,2.4
"157",157," <=50K"," <=50K",3,3
"158",158," <=50K"," <=50K",2.8,2.8
"159",159," <=50K"," <=50K",4,4
"160",160," <=50K"," <=50K",3.2,3.2
"161",161," <=50K"," <=50K",3.6,3.6
"162",162," >50K"," >50K",3.6,0.4
"163",163," <=50K"," <=50K",3,3
"164",164," >50K"," <=50K",2.6,2.6
"165",165," >50K"," >50K",2.8,1.2
"166",166," <=50K"," <=50K",3,3
"167",167," >50K"," >50K",2.6,1.4
"168",168," <=50K"," <=50K",3.6,3.6
"169",169," <=50K"," <=50K",2.2,2.2
"170",170," <=50K"," <=50K",2.4,2.4
"171",171," >50K"," >50K",2.8,1.2
"172",172," <=50K"," <=50K",3,3
"173",173," <=50K"," <=50K",4,4
"174",174," <=50K"," <=50K",4,4
"175",175," >50K"," >50K",3,1
"176",176," <=50K"," <=50K",3.8,3.8
"177",177," <=50K"," <=50K",4,4
"178",178," <=50K"," <=50K",3.4,3.4
"179",179," <=50K"," >50K",2.8,1.2
"180",180," <=50K"," <=50K",3.2,3.2
"181",181," <=50K"," <=50K",3.8,3.8
"182",182," <=50K"," >50K",3,1
"183",183," <=50K"," <=50K",3.6,3.6
"184",184," <=50K"," <=50K",3,3
"185",185," <=50K"," <=50K",3.8,3.8
"186",186," <=50K"," <=50K",3.6,3.6
"187",187," <=50K"," <=50K",4,4
"188",188," <=50K"," <=50K",3.6,3.6
"189",189," <=50K"," <=50K",3.8,3.8
"190",190," <=50K"," <=50K",2.4,2.4
"191",191," <=50K"," <=50K",3.8,3.8
"192",192," <=50K"," <=50K",2.6,2.6
"193",193," <=50K"," <=50K",4,4
"194",194," <=50K"," <=50K",3.6,3.6
"195",195," >50K"," <=50K",2.2,2.2
"196",196," <=50K"," <=50K",3.8,3.8
"197",197," >50K"," <=50K",3,3
"198",198," <=50K"," <=50K",3.8,3.8
"199",199," <=50K"," <=50K",4,4
"200",200," <=50K"," <=50K",3.8,3.8
"201",201," <=50K"," <=50K",4,4
"202",202," >50K"," >50K",3.2,0.8
"203",203," <=50K"," >50K",3.2,0.8
"204",204," <=50K"," <=50K",3.6,3.6
"205",205," >50K"," >50K",2.8,1.2
"206",206," <=50K"," >50K",3.2,0.8
"207",207," >50K"," <=50K",2.4,2.4
"208",208," <=50K"," >50K",2.8,1.2
"209",209," <=50K"," <=50K",2.4,2.4
"210",210," <=50K"," >50K",3,1
"211",211," <=50K"," <=50K",2.2,2.2
"212",212," <=50K"," <=50K",3.4,3.4
"213",213," <=50K"," <=50K",3,3
"214",214," >50K"," <=50K",2.8,2.8
"215",215," <=50K"," >50K",2.2,1.8
"216",216," <=50K"," <=50K",2.4,2.4
"217",217," >50K"," <=50K",2,2
"218",218," <=50K"," <=50K",3.6,3.6
"219",219," >50K"," <=50K",2.8,2.8
"220",220," <=50K"," <=50K",3.4,3.4
"221",221," <=50K"," <=50K",2.4,2.4
"222",222," <=50K"," <=50K",3.4,3.4
"223",223," >50K"," <=50K",3.4,3.4
"224",224," <=50K"," <=50K",3.8,3.8
"225",225," <=50K"," <=50K",3,3
"226",226," <=50K"," <=50K",4,4
"227",227," >50K"," >50K",2.8,1.2
"228",228," <=50K"," <=50K",3.8,3.8
"229",229," <=50K"," <=50K",3.4,3.4
"230",230," >50K"," <=50K",2,2
"231",231," <=50K"," <=50K",3.8,3.8
"232",232," <=50K"," <=50K",4,4
"233",233," <=50K"," <=50K",4,4
"234",234," <=50K"," <=50K",4,4
"235",235," <=50K"," <=50K",4,4
"236",236," >50K"," <=50K",2,2
"237",237," >50K"," >50K",3,1
"238",238," <=50K"," <=50K",3,3
"239",239," <=50K"," <=50K",2.6,2.6
"240",240," <=50K"," <=50K",3.6,3.6
"241",241," <=50K"," <=50K",2,2
"242",242," <=50K"," <=50K",4,4
"243",243," <=50K"," <=50K",2.8,2.8
"244",244," <=50K"," <=50K",2,2
"245",245," <=50K"," <=50K",3.8,3.8
"246",246," >50K"," >50K",2.2,1.8
"247",247," >50K"," <=50K",3.6,3.6
"248",248," <=50K"," <=50K",2.6,2.6
"249",249," <=50K"," <=50K",4,4
"250",250," >50K"," >50K",3,1
"251",251," <=50K"," <=50K",4,4
"252",252," <=50K"," <=50K",4,4
"253",253," <=50K"," <=50K",3.4,3.4
"254",254," <=50K"," <=50K",4,4
"255",255," <=50K"," <=50K",4,4
"256",256," <=50K"," <=50K",2.4,2.4
"257",257," <=50K"," <=50K",4,4
"258",258," <=50K"," <=50K",4,4
"259",259," <=50K"," <=50K",3.6,3.6
"260",260," >50K"," <=50K",3.6,3.6
"261",261," <=50K"," <=50K",3.4,3.4
"262",262," >50K"," <=50K",2.8,2.8
"263",263," <=50K"," <=50K",3,3
"264",264," <=50K"," <=50K",2.2,2.2
"265",265," >50K"," <=50K",2.4,2.4
"266",266," <=50K"," >50K",3.4,0.6
"267",267," <=50K"," <=50K",3.6,3.6
